"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&count=genera&cc=NOA"
"Access Time","Tue 2017-08-29 21:38:57 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","genera"
"","time_reso","stage"
"","cc","NOA"
"","timerule","major"
"Elapsed Time","25.8"
"Records Found","100"
"Records Returned","100"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"493798","422295","71503","45850","1350"
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","565","96","0","661","3129"
"922","Late Pleistocene","0.12600","0.01170","38","910","360","527","1743","15556"
"923","Middle Pleistocene","0.78100","0.12600","82","93","41","1355","857","2861"
"740","Calabrian","1.80600","0.78100","185","263","90","1263","1235","10189"
"741","Gelasian","2.58800","1.80600","38","13","49","1488","199","655"
"96","Piacenzian","3.60000","2.58800","59","177","63","1442","989","7835"
"97","Zanclean","5.33300","3.60000","98","178","116","1521","1176","6729"
"98","Messinian","7.24600","5.33300","60","42","34","1639","595","4529"
"99","Tortonian","11.62000","7.24600","183","176","173","1498","1299","13358"
"100","Serravallian","13.82000","11.62000","140","148","93","1534","1093","7807"
"101","Langhian","15.97000","13.82000","158","120","76","1524","736","4647"
"102","Burdigalian","20.44000","15.97000","291","199","958","1353","2106","11479"
"103","Aquitanian","23.03000","20.44000","77","38","28","1475","408","1607"
"104","Chattian","28.10000","23.03000","126","81","62","1387","735","3203"
"105","Rupelian","33.90000","28.10000","195","206","157","1273","1095","9264"
"106","Priabonian","38.00000","33.90000","261","282","782","1218","1936","8667"
"107","Bartonian","41.30000","38.00000","188","150","100","1312","966","9396"
"108","Lutetian","47.80000","41.30000","246","141","212","1216","1102","7043"
"109","Ypresian","56.00000","47.80000","415","127","454","942","1439","19019"
"110","Thanetian","59.20000","56.00000","175","79","58","894","634","4791"
"743","Selandian","61.60000","59.20000","58","27","39","915","271","879"
"111","Danian","66.00000","61.60000","181","70","147","761","672","6006"
"112","Maastrichtian","72.10000","66.00000","137","449","274","694","1230","29305"
"113","Campanian","83.60000","72.10000","408","135","404","735","1369","16907"
"114","Santonian","86.30000","83.60000","80","33","37","790","276","996"
"115","Coniacian","89.80000","86.30000","48","16","29","775","206","772"
"116","Turonian","93.90000","89.80000","102","64","159","689","518","2401"
"117","Cenomanian","100.50000","93.90000","210","101","162","543","705","6064"
"118","Albian","113.00000","100.50000","232","132","267","412","840","5579"
"119","Aptian","125.00000","113.00000","147","29","95","397","398","1371"
"120","Barremian","129.40000","125.00000","45","10","40","381","130","347"
"121","Hauterivian","132.90000","129.40000","26","15","16","365","99","241"
"122","Valanginian","139.80000","132.90000","33","28","51","347","151","872"
"123","Berriasian","145.00000","139.80000","19","6","18","356","84","318"
"124","Tithonian","152.10000","145.00000","27","91","117","335","337","4604"
"125","Kimmeridgian","157.30000","152.10000","55","12","40","371","153","471"
"126","Oxfordian","163.50000","157.30000","26","14","34","357","150","634"
"127","Callovian","166.10000","163.50000","14","21","26","357","130","759"
"128","Bathonian","168.30000","166.10000","26","21","19","352","164","1581"
"129","Bajocian","170.30000","168.30000","38","31","44","335","213","1763"
"130","Aalenian","174.10000","170.30000","7","15","6","359","84","220"
"131","Toarcian","182.70000","174.10000","25","38","34","349","184","1918"
"132","Pliensbachian","190.80000","182.70000","69","42","75","318","290","5328"
"133","Sinemurian","199.30000","190.80000","54","67","97","306","300","4278"
"134","Hettangian","201.30000","199.30000","45","2","13","328","105","334"
"135","Rhaetian","208.50000","201.30000","23","92","31","307","204","2445"
"136","Norian","228.00000","208.50000","154","161","366","245","803","7297"
"137","Carnian","237.00000","228.00000","127","30","40","279","262","1784"
"138","Ladinian","242.00000","237.00000","50","11","31","259","110","729"
"139","Anisian","247.20000","242.00000","30","18","100","240","175","1834"
"652","Olenekian","251.20000","247.20000","44","44","167","214","294","2785"
"653","Induan","252.17000","251.20000","36","14","37","222","112","1625"
"715","Changhsingian","254.17000","252.17000","0","23","3","236","33","133"
"716","Wuchiapingian","259.90000","254.17000","6","84","29","253","148","768"
"145","Capitanian","265.10000","259.90000","25","210","70","312","410","4691"
"146","Wordian","268.80000","265.10000","25","125","55","497","430","3337"
"717","Roadian","272.30000","268.80000","41","118","43","581","488","5224"
"148","Kungurian","279.30000","272.30000","99","171","97","600","678","8897"
"149","Artinskian","290.10000","279.30000","101","139","196","670","745","4001"
"150","Sakmarian","295.50000","290.10000","65","39","33","744","384","2869"
